,Umap 1,Umap 2,discretized FADY
0,-4.630883,-1.4620072,1
1,-4.5978894,-1.4371926,2
2,-4.74033,-1.5470518,2
3,-4.767445,-1.7537112,4
4,-4.5566325,-1.7633688,2
5,-4.914625,-1.9648345,0
6,-4.7492213,-2.1997292,3
7,-5.0134006,-2.2258525,2
8,-5.2587767,-2.3867095,0
9,-5.3033476,-2.7372317,2
10,-5.7368016,-2.9840634,2
11,-6.2921076,-3.6795623,2
12,-6.5639195,-4.001617,2
13,-6.686071,-4.1298637,2
14,-6.979051,-4.4605045,2
15,-7.2816844,-4.795997,0
16,-7.484644,-5.0138354,2
17,-7.758793,-5.3152027,2
18,-7.719117,-5.27593,0
19,-8.098447,-5.690502,2
20,-8.354345,-5.975324,2
21,-8.407922,-6.0291452,3
22,-8.621046,-6.318271,2
23,-8.902895,-6.3082085,1
24,-8.821938,-6.5457935,0
25,-8.988902,-6.803871,1
26,-9.183711,-7.189906,2
27,-9.371788,-7.457362,2
28,-9.503314,-7.6450834,0
29,-9.590918,-8.017777,2
30,-9.739172,-8.256675,4
31,-9.85343,-8.40938,4
32,-9.906605,-8.594595,2
33,-10.031237,-8.770244,2
34,-9.957264,-8.947814,0
35,-10.145544,-9.216793,2
36,-10.07985,-9.629605,2
37,-10.231822,-9.48849,2
38,-10.409975,-10.210499,2
39,-10.356787,-10.258172,2
40,-10.390739,-10.626837,2
41,-10.594146,-10.562153,0
42,-10.607518,-10.98927,2
43,-10.900943,-11.226857,2
44,-10.971442,-11.442348,2
45,-10.923146,-11.638374,4
46,-11.197939,-12.075436,1
47,-11.240989,-12.289202,2
48,-11.342359,-12.406225,1
49,-11.454635,-12.790499,2
50,-11.536994,-12.988779,0
51,-11.709413,-13.336351,1
52,-11.886785,-13.593602,2
53,-12.186514,-14.105663,2
54,-12.421173,-14.409483,2
55,-12.399622,-14.503454,0
56,-12.626297,-14.650402,2
57,-12.846447,-14.871475,2
58,-12.677394,-14.694224,0
59,-13.06835,-15.057253,2
60,-13.404733,-15.293731,2
61,-13.493484,-15.237066,2
62,-13.780966,-15.471639,3
63,-13.736742,-15.5112095,1
64,-14.103904,-15.660973,2
65,-14.241099,-15.410603,3
66,-14.367908,-15.640528,2
67,-14.685349,-15.582452,2
68,-14.839815,-15.552528,2
69,-15.070566,-15.727921,0
70,-15.196694,-15.646374,2
71,-15.392564,-15.453227,2
72,-15.668562,-15.623072,2
73,-15.910991,-15.589396,0
74,-15.983706,-15.5901375,2
75,-16.17962,-15.832545,3
76,-16.455511,-15.862651,0
77,-16.504953,-15.665792,2
78,-16.743338,-15.898313,2
79,-16.668043,-15.809517,2
80,-16.825838,-15.564494,3
81,-16.85046,-15.480831,2
82,-16.908678,-15.438166,2
