Ticker,discretized FADY
ADI,1
ADP,2
ADSK,2
AEP,4
ALGN,2
AMAT,0
AMGN,3
ANSS,2
ASML,0
AVGO,2
AZN,2
BIIB,2
BKNG,2
BKR,2
CDNS,2
CEG,0
CHTR,2
CMCSA,2
COST,0
CPRT,2
CRWD,2
CSCO,3
CSGP,2
CSX,1
CTAS,0
CTSH,1
DLTR,2
DXCM,2
EA,0
ENPH,2
EXC,4
FANG,4
FAST,2
FTNT,2
GEHC,0
GFS,2
GOOG,2
GOOGL,2
HON,2
IDXX,2
ILMN,2
INTU,0
ISRG,2
JD,2
KDP,2
KHC,4
KLAC,1
LCID,2
LRCX,1
LULU,2
MAR,0
MCHP,1
MDLZ,2
MELI,2
MNST,2
MU,0
NFLX,2
NXPI,2
ODFL,0
ON,2
ORLY,2
PANW,2
PAYX,3
PCAR,1
PDD,2
PEP,3
PYPL,2
QCOM,2
REGN,2
ROST,0
SGEN,2
SIRI,2
TEAM,2
TMUS,0
TTD,2
TXN,3
VRSK,0
VRTX,2
WBD,2
WDAY,2
XEL,3
ZM,2
ZS,2
