,Ticker,Forward_Annual_Dividend_Yield,Trailing_Annual_Dividend_Yield,5_Year_Average_Dividend_Yield,Payout_Ratio,Profit_Margin,Return_on_Equity,Total_Cash_(mrq),Total_Debt/Equity_(mrq),Operating_Cash_Flow,Levered_Free_Cash_Flow
0,PFE,5.38,5.35,3.78,89.07,15.29,11.06,44180000000.0,65.98,12040000000.0,-470250000.0
1,PATH,,0.0,,0.0,-12.51,-7.93,1820000000.0,2.94,247440000.0,376040000.0
2,ULTA,,0.0,,0.0,11.37,62.64,121810000.0,103.52,1270000000.0,626350000.0
3,MRVL,0.43,0.11,0.65,11.01,-10.11,-3.61,725600000.0,27.48,1180000000.0,1500000000.0
4,ESTC,,0.0,,0.0,-19.33,-53.43,957090000.0,143.65,83180000.0,266220000.0
5,BABA,,0.0,,0.0,14.5,11.31,574360000000.0,16.96,213310000000.0,129650000000.0
6,ALT,,0.0,,0.0,0.0,-44.15,140780000.0,0.52,-76580000.0,-51970000.0
7,U,,0.0,,0.0,-42.31,-30.35,1510000000.0,82.55,113540000.0,492430000.0
8,BTC-USD,,,,,,,,,,
9,MARA,,0.0,,0.0,-133.72,-42.13,101210000.0,31.94,-317220000.0,-206750000.0
10,HCDI,,0.0,,0.0,-96.94,-54.7,8050000.000000001,308.87,-47030000.0,-5150000.0
11,CLSK,,0.0,,0.0,-73.22,-21.2,29940000.0,2.47,32509999.999999996,34950000.0
12,AFRM,,0.0,,0.0,-52.58,-35.31,1170000000.0,221.37,59870000.0,-204490000.0
13,WISH,,0.0,,0.0,-100.56,-84.87,445000000.0,5.15,-375000000.0,-233000000.0
14,NEXI,,0.0,,0.0,0.0,-156.8,9000000.0,7.32,-36720000.0,-21100000.0
15,UPST,,0.0,,0.0,-46.38,-37.22,516580000.00000006,195.16,-269660000.0,-215440000.0
16,INTC,1.12,2.19,2.99,75.26,-3.11,-1.6,25030000000.0,46.25,14550000000.0,-4480000000.0
17,DELL,1.95,0.43,,39.89,2.92,,8300000000.0,,9860000000.0,1280000000.0
18,IOT,,0.0,,0.0,-26.77,-24.01,659760000.0,10.92,25690000.0,93950000.0
19,MSFT,0.79,0.74,1.01,26.36,35.31,39.11,143950000000.0,47.88,94970000000.0,50420000000.0
20,GGE,,0.0,,0.0,0.0,-163.25,,315.9,,-55460000.0
21,PARA,1.39,4.04,3.19,93.2,-3.65,-5.91,1800000000.0,75.84,-76000000.0,14940000000.0
22,DOCU,,0.0,,0.0,-0.64,-2.72,1440000000.0,103.67,634240000.0,969170000.0
23,VIEW,,0.0,,0.0,0.0,-387.98,50620000.0,,-195090000.0,-138020000.0
24,HUBC,,0.0,,0.0,-102.32,-214.51,3990000.0,225.7,-23430000.0,10980000.0
25,COIN,,0.0,,0.0,-28.0,-12.74,5100000000.0,54.1,182700000.0,461030000.0
26,BIOR,,0.0,,0.0,0.0,,12570000.0,,-45770000.0,16059999.999999998
27,LULU,,0.0,,0.0,11.4,31.52,1110000000.0,33.78,1630000000.0,809510000.0
28,SMCI,,0.0,,0.0,8.29,32.32,543260000.0,7.96,620460000.0,472640000.0
29,RIOT,,0.0,,0.0,-110.24,-21.88,290110000.0,1.63,-10460000.0,-242180000.0
