Ticker,Date,Dividend
ADP,2023-09-07,1.25
ADP,2023-06-08,1.25
ADP,2023-03-09,1.25
ADP,2022-12-08,1.25
ADP,2022-09-08,1.04
ADP,2022-06-09,1.04
ADP,2022-03-10,1.04
ADP,2021-12-09,1.04
ADP,2021-09-09,0.93
ADP,2021-06-10,0.93
ADP,2021-03-11,0.93
ADP,2020-12-10,0.93
ADP,2020-09-10,0.91
ADP,2020-06-11,0.91
ADP,2020-03-12,0.91
ADP,2019-12-12,0.91
ADP,2019-09-12,0.79
ADP,2019-06-13,0.79
ADP,2019-03-07,0.79
ADP,2018-12-13,0.79
AEP,2023-11-09,0.88
AEP,2023-08-09,0.83
AEP,2023-05-09,0.83
AEP,2023-02-09,0.83
AEP,2022-11-09,0.83
AEP,2022-08-09,0.78
AEP,2022-05-09,0.78
AEP,2022-02-09,0.78
AEP,2021-11-09,0.78
AEP,2021-08-09,0.74
AEP,2021-05-07,0.74
AEP,2021-02-09,0.74
AEP,2020-11-09,0.74
AEP,2020-08-07,0.7
AEP,2020-05-07,0.7
AEP,2020-02-07,0.7
AEP,2019-11-07,0.7
AEP,2019-08-08,0.67
AEP,2019-05-09,0.67
AEP,2019-02-07,0.67
AMGN,2023-11-16,2.13
AMGN,2023-08-17,2.13
AMGN,2023-05-17,2.13
AMGN,2023-02-14,2.13
AMGN,2022-11-16,1.94
AMGN,2022-08-17,1.94
AMGN,2022-05-16,1.94
AMGN,2022-02-14,1.94
AMGN,2021-11-15,1.76
AMGN,2021-08-16,1.76
AMGN,2021-05-14,1.76
AMGN,2021-02-11,1.76
AMGN,2020-11-13,1.6
AMGN,2020-08-14,1.6
AMGN,2020-05-15,1.6
AMGN,2020-02-13,1.6
AMGN,2019-11-14,1.45
AMGN,2019-08-14,1.45
AMGN,2019-05-16,1.45
AMGN,2019-02-14,1.45
ADI,2023-12-01,0.86
ADI,2023-09-01,0.86
ADI,2023-06-02,0.86
ADI,2023-02-24,0.86
ADI,2022-12-02,0.76
ADI,2022-08-29,0.76
ADI,2022-05-27,0.76
ADI,2022-02-24,0.76
ADI,2021-12-02,0.69
ADI,2021-08-26,0.69
ADI,2021-05-27,0.69
ADI,2021-02-25,0.69
ADI,2020-12-03,0.62
ADI,2020-08-27,0.62
ADI,2020-05-28,0.62
ADI,2020-02-27,0.62
ADI,2019-12-05,0.54
ADI,2019-08-29,0.54
ADI,2019-05-30,0.54
ADI,2019-02-28,0.54
AAPL,2023-11-10,0.24
AAPL,2023-08-11,0.24
AAPL,2023-05-12,0.24
AAPL,2023-02-10,0.23
AAPL,2022-11-04,0.23
AAPL,2022-08-05,0.23
AAPL,2022-05-06,0.23
AAPL,2022-02-04,0.22
AAPL,2021-11-05,0.22
AAPL,2021-08-06,0.22
AAPL,2021-05-07,0.22
AAPL,2021-02-05,0.205
AAPL,2020-11-06,0.205
AAPL,2020-08-07,0.205
AAPL,2020-05-08,0.205
AAPL,2020-02-07,0.1925
AAPL,2019-11-07,0.1925
AAPL,2019-08-09,0.1925
AAPL,2019-05-10,0.1925
AAPL,2019-02-08,0.1825
AMAT,2023-11-22,0.32
AMAT,2023-08-23,0.32
AMAT,2023-05-24,0.32
AMAT,2023-02-22,0.26
AMAT,2022-11-23,0.26
AMAT,2022-08-24,0.26
AMAT,2022-05-25,0.26
AMAT,2022-02-22,0.24
AMAT,2021-11-24,0.24
AMAT,2021-08-25,0.24
AMAT,2021-05-26,0.24
AMAT,2021-02-24,0.22
AMAT,2020-11-18,0.22
AMAT,2020-08-19,0.22
AMAT,2020-05-20,0.22
AMAT,2020-02-18,0.21
AMAT,2019-11-20,0.21
AMAT,2019-08-21,0.21
AMAT,2019-05-22,0.21
AMAT,2019-02-20,0.2
ASML,2023-11-01,1.53
ASML,2023-08-01,1.628
ASML,2023-05-01,1.839
ASML,2023-02-06,1.49
ASML,2022-11-03,1.34
ASML,2022-08-04,1.399
ASML,2022-05-03,4.19
ASML,2021-11-02,2.094
ASML,2021-05-03,1.886
ASML,2020-11-02,1.396
ASML,2020-04-24,1.458
ASML,2019-11-04,1.17
ASML,2019-04-26,2.386
AZN,2023-08-10,0.465
AZN,2023-02-23,0.985
AZN,2022-08-11,0.465
AZN,2022-02-24,0.985
AZN,2021-08-12,0.45
AZN,2021-02-25,0.95
AZN,2020-08-13,0.45
AZN,2020-02-27,0.95
AZN,2019-08-08,0.45
AZN,2019-02-28,0.95
BKR,2023-11-03,0.2
BKR,2023-08-07,0.2
BKR,2023-05-26,0.19
BKR,2023-02-03,0.19
BKR,2022-11-04,0.19
BKR,2022-08-08,0.18
BKR,2022-05-27,0.18
BKR,2022-02-04,0.18
BKR,2021-11-01,0.18
BKR,2021-08-09,0.18
BKR,2021-05-24,0.18
BKR,2021-02-08,0.18
BKR,2020-11-06,0.18
BKR,2020-08-07,0.18
