Ticker,Sector,Forward_Annual_Dividend_Yield,Trailing_Annual_Dividend_Yield,5_Year_Average_Dividend_Yield,Payout_Ratio,Profit_Margin,Return_on_Equity,Total_Cash_(mrq),Total_Debt/Equity_(mrq),Operating_Cash_Flow,Levered_Free_Cash_Flow,Stock_Price,Market_Cap
ADBE,Information Technology,,0.0,0.12,0.0,27.11,33.97,7520000000.0,25.96,8029999999.999999,7320000000.0,624.34,288510000000.0
ADP,Industrials,2.37,2.11,1.98,59.38,19.08,115.46,1460000000.0,108.45,3820000000.0,3540000000.0,236.49,97350000000.0
ABNB,Consumer Discretionary,,0.0,,0.0,56.87,74.47,10960000000.0,25.31,4280000000.0,2880000000.0,142.09,90080000000.0
ALGN,Health Care,,0.0,,0.0,9.53,9.68,1280000000.0,3.34,883590000.0,770260000.0,221.48,16660000000.0
GOOGL,Communication Services,,0.0,,0.0,22.46,25.33,119940000000.0,11.14,106440000000.0,70760000000.0,132.73,
GOOG,Communication Services,,0.0,,0.0,22.46,25.33,119940000000.0,11.14,106440000000.0,70760000000.0,134.08,
AMZN,Consumer Discretionary,,0.0,,0.0,3.62,12.53,64170000000.0,90.76,71650000000.0,36390000000.0,147.93,
AMD,Information Technology,,0.0,,0.0,0.94,0.38,5780000000.0,5.21,1850000000.0,2760000000.0,137.54,222310000000.0
AEP,Utilities,4.4,4.15,3.37,76.15,11.7,9.06,564300000.0,169.04,4230000000.0,-2950000000.0,80.67,42070000000.0
AMGN,Health Care,3.11,3.04,2.96,59.25,28.2,133.8,34740000000.0,789.81,10580000000.0,8900000000.0,275.23,146630000000.0
ADI,Information Technology,1.8,1.8,1.83,50.99,26.94,9.2,958060000.0,20.96,4820000000.0,3310000000.0,190.4,94770000000.0
ANSS,Information Technology,,0.0,,0.0,22.4,10.13,639510000.0,17.51,658370000.0,567290000.0,292.77,25750000000.0
AAPL,Information Technology,0.49,0.48,0.82,15.33,25.31,171.95,61550000000.0,199.42,110540000000.0,82180000000.0,196.24,
AMAT,Information Technology,0.81,0.78,1.14,14.3,25.85,48.04,6870000000.0,34.01,8700000000.0,5580000000.0,155.94,131520000000.0
ASML,Information Technology,0.85,0.61,0.88,30.29,28.44,76.27,4980000000.0,41.71,7600000000.0,4570000000.0,723.35,281800000000.0
AZN,Health Care,2.27,4.53,2.62,76.72,13.1,16.32,5110000000.0,79.4,10360000000.0,12670000000.0,65.25,197910000000.0
TEAM,Information Technology,,0.0,,0.0,-13.63,-80.45,2270000000.0,164.49,942630000.0,1110000000.0,207.73,52130000000.0
ADSK,Information Technology,,0.0,0.48,0.0,17.15,76.8,1950000000.0,178.68,1790000000.0,1960000000.0,228.6,48760000000.0
BKR,Energy,2.48,2.38,3.17,46.11,6.86,11.47,4250000000.0,43.71,3030000000.0,2770000000.0,32.37,32500000000.0
BIIB,Health Care,,0.0,,0.0,14.63,10.73,2290000000.0,53.28,1360000000.0,1240000000.0,253.85,36090000000.0
BKNG,Consumer Discretionary,,0.0,,0.0,25.7,348.24,13920000000.0,,8170000000.0,6560000000.0,3422.97,118710000000.0
AVGO,Information Technology,1.96,1.78,3.07,55.79,39.31,60.31,11110000000.0,166.03,18080000000.0,13670000000.0,1086.11,500920000000.0
CDNS,Information Technology,,0.0,,0.0,24.42,32.9,961980000.0,20.84,1340000000.0,985690000.0,272.93,74610000000.0
CHTR,Communication Services,,0.0,,0.0,8.6,39.99,571000000.0,665.29,14360000000.0,3060000000.0,369.48,54300000000.0
