,Umap 1,Umap 2,discretized FADY
0,20.69719,-3.5123765,1
1,20.945662,-3.731849,2
2,20.822325,-3.5994787,2
3,20.874317,-3.8668573,4
4,20.839657,-3.5728626,2
5,21.23257,-3.6221619,0
6,21.297804,-3.9527633,3
7,21.517126,-3.8279657,2
8,21.857605,-3.9273686,0
9,21.990572,-4.190343,2
10,22.369118,-4.2145576,2
11,22.77536,-4.3251505,2
12,23.093466,-4.4040394,2
13,23.263792,-4.559604,2
14,23.69365,-4.639297,2
15,24.008633,-4.77357,0
16,24.139877,-4.837095,2
17,24.5744,-4.9787555,2
18,24.747416,-5.10831,0
19,25.31542,-5.2518954,2
20,25.611952,-5.409906,2
21,25.898085,-5.491976,3
22,26.165266,-5.6596828,2
23,26.515533,-5.798169,1
24,26.78601,-5.947357,0
25,26.970285,-6.056411,1
26,27.262415,-6.2148104,2
27,27.493284,-6.490536,2
28,27.655615,-6.331784,0
29,28.126526,-6.701996,2
30,28.536402,-6.94731,4
31,28.623062,-7.014263,4
32,29.014343,-7.219288,2
33,29.153837,-7.1362076,2
34,29.366642,-7.2204704,0
35,29.417553,-7.464748,2
36,30.016096,-7.6118975,2
37,30.197042,-7.7361684,2
38,30.6062,-7.9731016,2
39,30.65593,-8.049673,2
40,30.918169,-7.921602,2
41,30.954296,-8.297825,0
42,31.218983,-8.1874075,2
43,31.363678,-8.202253,2
44,31.64595,-8.480617,2
45,31.842438,-8.655294,4
46,32.223736,-8.902782,1
47,32.413555,-9.076239,2
48,32.687923,-9.267544,1
49,32.85663,-9.402736,2
50,33.17916,-9.615821,0
51,33.400536,-9.681513,1
52,33.58832,-9.997549,2
53,33.710728,-9.935525,2
54,33.983765,-10.259852,2
55,34.090027,-10.3480835,0
56,34.228813,-10.54816,2
57,34.368397,-10.707048,2
58,34.5744,-10.9538355,0
59,34.623585,-11.245351,2
60,34.82804,-11.343204,2
61,34.990482,-11.508189,2
62,35.296196,-11.647606,3
63,35.23119,-11.778055,1
64,35.564373,-12.240492,2
65,35.69977,-12.0510435,3
66,35.854473,-12.466574,2
67,36.014114,-12.516943,2
68,36.146324,-12.575752,2
69,36.27402,-12.737652,0
70,36.44234,-12.992017,2
71,36.5862,-12.946918,2
72,36.788807,-13.059732,2
73,36.888092,-13.164765,0
74,36.978832,-13.338062,2
75,36.915028,-13.632428,3
76,37.14444,-13.513544,0
77,37.178684,-13.718048,2
78,37.5985,-13.479371,2
79,37.544636,-13.7643795,2
80,37.367058,-13.91514,3
81,37.470936,-13.865083,2
82,37.73954,-13.644346,2
