,UMAP 1,UMAP 2,discretized FADY
0,3.4472733,-2.0913122,1
1,9.049743,1.9436501,1
2,3.856465,-2.2638483,1
3,1.8605446,-1.9168215,1
4,2.3801482,0.001299026,1
5,2.2530725,0.054478638,1
6,2.1772416,-0.053785164,1
7,0.46076277,-2.7101843,1
8,8.2973385,2.8125153,2
9,8.137941,2.002026,1
10,8.985399,1.5122126,1
11,2.6822422,-2.8236566,1
12,2.110555,0.32934147,0
13,4.248089,-1.5983394,0
14,4.4138494,-1.1932874,0
15,8.569715,2.9884048,1
16,0.7794389,-1.3971657,1
17,2.9933748,-1.8108481,1
18,8.789562,2.6080947,1
19,1.8158334,-2.4270883,1
20,2.5117738,-3.145064,1
21,8.197069,1.7506192,1
22,2.5642986,-3.252255,1
23,1.0377029,-2.5117989,1
24,4.5553713,-0.7314051,0
25,8.418223,1.8842331,1
26,4.235686,-0.3982135,0
27,8.809972,1.6463443,1
28,3.456359,-0.7008885,0
29,3.1918259,-2.9021728,1
30,2.5242412,-2.2669446,1
31,3.962122,-0.5654528,0
32,1.3035485,-1.5189437,1
33,4.6325164,-1.4102973,0
34,1.0570604,-1.6200655,1
35,1.6145995,-2.230394,1
36,7.9313326,1.5914578,3
37,0.7435463,-2.477356,1
38,4.8878336,-1.8879399,1
39,1.0690627,-3.4085355,0
40,1.7531921,-3.6665022,1
41,8.271133,2.959709,2
42,9.041601,2.4081488,1
43,2.0633292,-3.5634773,1
44,0.56913376,-3.1736965,0
45,7.947744,2.561767,2
46,1.7824687,-3.3511539,1
47,9.281042,1.7506337,1
48,2.3631349,-3.3370214,1
49,0.3349294,-1.7413828,1
50,8.76214,3.0049684,0
51,4.448264,-0.7993663,0
52,2.8370168,-2.495185,1
53,8.255521,2.397704,1
54,9.288532,2.1611474,1
55,4.548211,-1.7069474,0
56,8.058899,2.6766198,2
57,4.6368484,-1.2202101,0
58,0.9523436,-1.7705272,1
59,1.9883662,-1.8877714,1
60,4.209726,-2.1431499,0
61,0.96773857,-1.2855948,0
62,2.420061,-1.5975986,1
63,1.981493,0.060090516,1
64,4.916592,-1.3780135,1
65,0.5010763,-1.2047201,0
66,2.2374306,0.32587832,0
67,0.4301691,-1.2644012,1
68,9.083173,1.9883481,1
69,2.980793,-2.3914354,1
70,2.4187975,-1.941973,1
71,3.6318905,-2.1403282,0
72,4.9182982,-0.95858145,1
73,2.7326405,-1.7810001,1
74,3.2233496,-1.8614826,0
75,3.296448,-2.3064902,1
76,3.306244,-0.855459,0
77,1.6632838,-1.7172556,1
78,8.2544985,1.7790111,1
79,1.3902962,-2.7933755,1
80,1.9571989,-0.07755837,1
81,8.824539,2.9954996,1
82,8.640692,1.8156717,1
83,3.0007503,-2.9637594,1
84,4.1128597,-0.47222197,0
85,0.34602416,-1.4715717,1
86,4.4932766,-0.50982857,1
87,9.402886,2.1821146,1
88,2.662345,-2.6820827,1
89,1.2582761,-2.3625064,0
90,1.043871,-2.5996103,1
91,8.045794,1.5367006,1
92,0.5057345,-3.043146,1
93,1.4221126,-3.602216,0
94,2.230918,-3.659856,1
95,8.0359955,2.582429,4
96,0.20271578,-2.3968282,1
97,0.1020207,-2.8129997,1
98,8.739403,2.7068067,2
99,0.24247694,-2.9980984,1
100,0.12667067,-2.3616593,1
